Cluster,CellType
0,CD8+ T Cells
1,TBD T Cells
2,TBD T Cells
3,CD4+ T Cells
4,Regulatory T Cells
5,CD8+ T Cells
6,Cytotoxic T Cells
7,CD4+ T Cells
8,TBD T Cells
9,TBD T Cells
10,TBD T Cells
11,Dividing T Cells
12,Non T Cells
13,CD8+ T Cells
14,Non T Cells
15,Non T Cells
16,Non T Cells
17,Non T Cells
