Cluster,CellType
0,TBD T Cells
1,TBD T Cells
2,TBD T Cells
3,TBD T Cells
4,TBD T Cells
5,TBD T Cells
6,CD8+ T Cells
7,CD4+ T Cells
8,CD4+ T Cells
9,TBD T Cells
10,CD8+ T Cells
11,TBD T Cells
12,CD8+ T Cells
13,TBD T Cells
14,CD8+ T Cells
15,CD8+ T Cells
16,TBD T Cells
17,Cycling T Cells
18,Non T Cells
