Cluster,CellType
0,T Cells
1,T Cells
2,Dendritic Cells
3,T Cells
4,B Cells
5,Natural Killers
6,T Cells
7,T Cells
8,Dendritic Cells
9,Natural Killers
10,Dendritic Cells
11,Monocytes
12,T Cells
13,Platelets
14,Dendritic Cells
15_0,T Cells
15_1,T Cells
15_2,Plasma Cells
15_3,Natural Killers
16,B Cells
