Cluster,CellType
0,CD4+ T Cells
1,CD4+ T Cells
2,CD4+ T Cells
3,CD4+ T Cells
4,CD8+ T Cells
5,CD4+ T Cells
6,CD4+ T Cells
7,CD4+ T Cells
8,CD4+ T Cells
9,CD4+ T Cells
10,Gamma Delta T Cells
11,CD8+ T Cells
12,CD4+ T Cells
13,MAIT Cells
14,CD8+ T Cells
15,CD4+ T Cells
16,CD8+ T Cells
17,CD8+ T Cells
18,CD4+ T Cells
19,CD8+ T Cells
20,MAIT Cells
21,CD4+ T Cells
22,CD8+ T Cells
23,CD4+ T Cells
24,CD8+ T Cells
25,CD8+ T Cells
